"","contrast","estimate","SE","df","z.ratio","p.value"
"1","(Non-pteropus) - Pteropus",-905.545099074672,357.003358484364,Inf,-2.53651703143385,0.0301080414619921
"2","(Non-pteropus) - Unidentified",30.1307251011018,0.414081377314702,Inf,72.7652262376495,0
"3","Pteropus - Unidentified",935.675824175774,357.003149967102,Inf,2.62091755846411,0.0238236830393641
