"","Month_Season","mean_no_bat","sum_no_bat","mean_non_Pteropus","sum_non_Pteropus","mean_Pteropus","sum_Pteropus","mean_unidentified","sum_unidentified","season_total","non_Pteropus_percent","Pteropus_percent","unidentified_percent","total_percent"
"1","Monsoon",0,0,1.8,612,0.514705882352941,175,0,0,787,1.91795418220565,16.0109789569991,0,2.38354836755709
"2","Postmonsoon",0,0,20.5207100591716,3468,0.733727810650888,124,0.0236686390532544,4,3596,10.8684070324987,11.3449222323879,25,10.891029135623
"3","Spring",0,0,16.0588235294118,4095,1.3843137254902,353,0,0,4448,12.8333698956407,32.2964318389753,0,13.4714398207039
"4","Winter",0,0,93.8102766798419,23734,1.74308300395257,441,0.0474308300395257,12,24187,74.380268889655,40.3476669716377,75,73.2539826761161
