"","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"1","winter",3.99503651354751,0.48968732899102,8.15834161316592,0.00000000000000100250079762691,3.05869867488783,4.9537744967671
"2","spring",2.31562861162595,0.483988564959814,4.78446967402673,0.00000196965771272542,1.51490193090922,3.1491813255496
"3","monsoon",-0.120358340252468,0.539179935698242,-0.223224812875507,0.823405679388908,-1.25697686989293,0.997341186386918
"4","post-monsoon",2.35172708378764,0.555963321930702,4.23000401469069,0.0000254911672273186,1.26699678938178,3.45076782373009
"5","days_since_shaving",-0.161414668210759,0.0806489078510886,-2.00144890379418,0.0456111716724838,-0.325281047168315,0.00940993464672349
"6","shavearea",0.000728522877287864,0.000402389508750123,1.81049172865057,0.0705166279165606,-0.000023304332749154,0.00151026543779094
