"","contrast","estimate","SE","df","z.ratio","p.value"
"1","1 - 2",1.01681496792123,0.235391444830366,Inf,4.31967682025996,0.0000920487114745017
"2","1 - 3",2.35147815433812,0.284068581358716,Inf,8.27785368973528,0.0000000000000450750547997814
"3","1 - 4",1.49773228805922,0.289370491875913,Inf,5.17582936100294,0.00000135580998594786
"4","2 - 3",1.33466318641688,0.25254733450386,Inf,5.28480409044462,0.000000752511568724579
"5","2 - 4",0.480917320137984,0.293267159901334,Inf,1.63986080234754,0.356148496244448
"6","3 - 4",-0.853745866278901,0.319502268815169,Inf,-2.67211206181697,0.0378029969614013
