"","contrast","estimate","SE","df","z.ratio","p.value"
"1","1 - 2",-17.8562511911573,19.5090238890388,Inf,-0.915281630322358,0.796699980789378
"2","1 - 3",-54.5222119150694,34.2540174274588,Inf,-1.59170269678684,0.383317844177446
"3","1 - 4",-70.8798989898985,45.9019000252171,Inf,-1.54416045852044,0.411020983394585
"4","2 - 3",-36.6659607239122,35.8542326606664,Inf,-1.02263967188834,0.736169534803494
"5","2 - 4",-53.0236477987412,47.1080960737066,Inf,-1.12557399296671,0.673702929701819
"6","3 - 4",-16.357687074829,54.8808565212602,Inf,-0.298058159287151,0.99079991788689
