"","term","estimate","std.error.x","statistic","p.value","conf.low.x","conf.high.x","predicted","std.error.y","conf.low.y","conf.high.y","group"
"1","Monsoon",54.5222119150694,34.2540174274588,1.59170269678684,0.11178176055353,-0.350165405864012,152.494379722551,183.782312925171,32.2355525507379,120.601790903976,246.962834946365,"1"
"2","Postmonsoon",70.8798989898985,45.9019000252171,1.54416045852044,0.12288005934513,3.70103464292859,225.881433512317,200.14,44.4159606927032,113.086316703555,287.193683296445,"1"
"3","Spring",17.8562511911573,19.5090238890388,0.915281630322358,0.36027436212477,-19.6970464036093,61.2312329998159,147.116352201259,15.6969790543854,116.350838588583,177.881865813934,"1"
"4","Winter",129.260101010101,11.5847685203145,11.1577629525732,2.90331100676936e-27,109.952929478902,156.806517492092,129.260101010101,11.5847685203145,106.554371941052,151.965830079151,"1"
