"","contrast","estimate","SE","df","z.ratio","p.value"
"1","1 - 2",-168.166475663148,101.160585734647,Inf,-1.66237151002924,0.343781902010681
"2","1 - 3",-410.95448051948,175.904846233496,Inf,-2.33623171458267,0.0899389337531187
"3","1 - 4",-123.485263929618,143.507406783039,Inf,-0.860480073452293,0.82520154998541
"4","2 - 3",-242.788004856332,186.525305717071,Inf,-1.30163574279086,0.561848945935526
"5","2 - 4",44.6812117335305,156.344333271179,Inf,0.285787215939773,0.991868403438072
"6","3 - 4",287.469216589863,212.491414810722,Inf,1.35285096974825,0.529147578907831
