"","contrast","estimate","SE","df","z.ratio","p.value"
"1","1 - 2",1.67940790192156,0.289512168101574,Inf,5.80081974769485,0.0000000395475669989764
"2","1 - 3",4.11539485379998,0.304177399047537,Inf,13.5295878874841,0
"3","1 - 4",1.64330942975987,0.327778737882203,Inf,5.01347171075642,0.00000318960203604668
"4","2 - 3",2.43598695187842,0.307928690302208,Inf,7.91088011152091,0.0000000000000718314296932476
"5","2 - 4",-0.0360984721616942,0.332357839894808,Inf,-0.108613271084923,0.999541822729205
"6","3 - 4",-2.47208542404011,0.33710428541145,Inf,-7.33329575155897,0.00000000000137501121599826
