"","contrast","estimate","SE","df","z.ratio","p.value"
"1","1 - 2",-15.387890690496,2.03257034670313,Inf,-7.57065590150691,0.000000000000248245868306185
"2","1 - 3",1.82728950306202,2.5012607962811,Inf,0.730547372660563,0.884866821342833
"3","1 - 4",-1.12043611536187,1.28371379303027,Inf,-0.872808348282231,0.818948480604896
"4","2 - 3",17.215180193558,3.16345096120413,Inf,5.44189886446202,0.000000315513279058877
"5","2 - 4",14.2674545751342,2.32358290477142,Inf,6.14028212457419,0.00000000493965746084513
"6","3 - 4",-2.94772561842389,2.74299122712088,Inf,-1.07463909810528,0.705045612317899
