"","term","estimate","std.error.x","statistic","p.value","conf.low.x","conf.high.x","predicted","std.error.y","conf.low.y","conf.high.y","group"
"1","Monsoon",410.95448051948,175.904846233496,2.33623171458267,0.0196600179855736,122.221401833675,867.245323101188,1213.38857142857,166.584423784307,886.889100425974,1539.88804243117,"1"
"2","Postmonsoon",123.485263929618,143.507406783039,0.860480073452293,0.389714036342255,-118.015787964096,493.81828697678,925.919354838712,131.917516352881,667.365773857091,1184.47293582033,"1"
"3","Spring",168.166475663148,101.160585734647,1.66237151002924,0.0967263497607344,-22.4890479682056,388.624055129476,970.600566572242,83.9125701268699,806.134951273385,1135.0661818711,"1"
"4","Winter",802.434090909094,56.4990679647019,14.2026075794811,3.99918671700255e-42,705.132928404511,930.913160042921,802.434090909094,56.4990679647019,691.697952538198,913.170229279991,"1"
