"","contrast","estimate","SE","df","z.ratio","p.value"
"1","Pteropus - non_Pteropus",-3.3739618924881,0.118685235471478,Inf,-28.4278147916631,0
"2","Pteropus - unidentified",4.22409276593677,0.562298883877733,Inf,7.51218415517123,0.00000000000019373391779709
"3","non_Pteropus - unidentified",7.59805465842487,0.558486468085339,Inf,13.6047247204991,0
