"","contrast","estimate","SE","df","z.ratio","p.value"
"1","1 - 2",-15.3858736433873,2.04184086723004,Inf,-7.53529517912908,0.00000000000031774582964772
"2","1 - 3",1.96377958691328,2.501563777531,Inf,0.785020795612693,0.86130012425813
"3","1 - 4",-1.50714960521363,1.31716911535854,Inf,-1.1442339390135,0.662051073666457
"4","2 - 3",17.3496532303005,3.16928005869621,Inf,5.47432000611455,0.00000026290687638042
"5","2 - 4",13.8787240381736,2.34977642252371,Inf,5.90640194749574,0.000000020959514568375
"6","3 - 4",-3.47092919212691,2.75865119973737,Inf,-1.25819791659683,0.589668037568187
