"","contrast","estimate","SE","df","z.ratio","p.value"
"1","1 - 2",1.76501595836881,0.313587537154312,Inf,5.6284633451497,0.000000108907612594855
"2","1 - 3",3.9534877445927,0.32135723818833,Inf,12.302469883301,0
"3","1 - 4",1.51983978652021,0.350595056421913,Inf,4.33502914168647,0.0000858919890514009
"4","2 - 3",2.18847178622389,0.324548752896396,Inf,6.7431218474671,0.0000000000930288068801133
"5","2 - 4",-0.245176171848606,0.353522717881127,Inf,-0.693523101763001,0.899613793521572
"6","3 - 4",-2.43364795807249,0.360432577794491,Inf,-6.75201995603209,0.0000000000874991190613628
