"","contrast","estimate","SE","df","z.ratio","p.value"
"1","1 - 2",0.230450873335984,0.232059941504538,Inf,0.993066152830504,0.753392287357719
"2","1 - 3",1.21981502991701,0.248479776640017,Inf,4.90911190605346,0.00000545261035345135
"3","1 - 4",0.865272536037002,0.289568621053365,Inf,2.98814330395813,0.0148999237828432
"4","2 - 3",0.989364156581027,0.25290147364918,Inf,3.912053742927,0.000530406028074193
"5","2 - 4",0.634821662701018,0.29337167939936,Inf,2.1638818852615,0.133412929888364
"6","3 - 4",-0.354542493880009,0.3065245915446,Inf,-1.15665269169251,0.654254635861294
